   1   1   1   1     1.990186396372
   1   1   1   2     0.000000000000
   1   1   2   2     3.973149807922
   1   1   1   3     0.000000000000
   1   1   2   3    -0.000000000000
   1   1   3   3     3.973149807922
   1   1   1   4     0.000000000000
   1   1   2   4     0.000000000000
   1   1   3   4     0.000000000000
   1   1   4   4     3.973149807922
   1   1   1   5     0.000000000000
   1   1   2   5    -0.000292682380
   1   1   3   5    -0.000249691341
   1   1   4   5     0.000000000000
   1   1   5   5     0.015154776881
   1   1   1   6     0.000000000000
   1   1   2   6     0.000000000000
   1   1   3   6     0.000000000000
   1   1   4   6    -0.000384719043
   1   1   5   6     0.000000000000
   1   1   6   6     0.015154776881
   1   1   1   7     0.000000000000
   1   1   2   7     0.000249691341
   1   1   3   7    -0.000292682380
   1   1   4   7     0.000000000000
   1   1   5   7    -0.000000000000
   1   1   6   7     0.000000000000
   1   1   7   7     0.015154776881
   1   1   1   8    -0.000128548423
   1   1   2   8     0.000000000000
   1   1   3   8     0.000000000000
   1   1   4   8     0.000000000000
   1   1   5   8     0.000000000000
   1   1   6   8     0.000000000000
   1   1   7   8     0.000000000000
   1   1   8   8     0.006308534689
   1   2   1   1     0.000000000000
   1   2   2   1    -1.985242801267
   1   2   3   1     0.000000000000
   1   2   4   1     0.000000000000
   1   2   5   1     0.000111593970
   1   2   6   1     0.000000000000
   1   2   7   1    -0.000095202342
   1   2   8   1     0.000000000000
   2   2   1   1     3.973149807922
   1   2   1   2     0.001284581827
   1   2   2   2     0.000000000000
   1   2   3   2     0.000000000000
   1   2   4   2     0.000000000000
   1   2   5   2     0.000000000000
   1   2   6   2     0.000000000000
   1   2   7   2     0.000000000000
   1   2   8   2    -0.000019847711
   2   2   1   2     0.000000000000
   2   2   2   2     1.985675943313
   1   2   1   3     0.000000000000
   1   2   2   3     0.000000000000
   1   2   3   3     0.000000000000
   1   2   4   3     0.000000000000
   1   2   5   3     0.000000000000
   1   2   6   3     0.000000000000
   1   2   7   3     0.000000000000
   1   2   8   3    -0.000000000000
   2   2   1   3     0.000000000000
   2   2   2   3     0.000000000000
   2   2   3   3     3.967575830644
   1   2   1   4     0.000000000000
   1   2   2   4     0.000000000000
   1   2   3   4     0.000000000000
   1   2   4   4     0.000000000000
   1   2   5   4     0.000000000000
   1   2   6   4     0.000000000000
   1   2   7   4     0.000000000000
   1   2   8   4     0.000000000000
   2   2   1   4     0.000000000000
